Frame,Hip-Knee Angle,Knee-Ankle Angle
130,3.793646503787118,1.1708629444528038
130,3.793646503787118,1.1708629444528038
131,3.7013651110731405,1.2002035928596093
132,3.9310262478815208,1.175456328185765
133,3.867476238055389,0.8696514188476375
134,3.9567730931909657,1.0588276225338147
135,4.535732869354629,0.4455530564998705
136,5.925173258332424,-2.1181201822182
137,6.428606687174631,-2.2117039034759536
138,5.363000029290535,-1.9533965758203837
139,5.752414684641834,-1.6278745790891265
140,5.722420009169528,-1.7116073450867537
141,5.330217771836087,-0.8997568326657681
142,6.490873211874684,-1.0405071485673312
143,5.9398565320901575,-1.0786338563475752
144,4.868412728692334,-1.0637796411529639
145,3.780608433626697,-1.4744699341445755
146,8.546945801968116,-2.0839213409787956
147,7.728048075632751,-5.209806076200057
148,5.8392301247128655,-6.993673353639044
149,4.212859348019971,-5.886092497384855
150,3.860117391200764,-2.810659305379743
151,5.0189509875617375,-2.3895783363140097
152,5.912923424585398,-1.6215455554389786
153,5.969203436492923,-1.6262566904683542
154,6.655048940506867,-1.296636238236146
155,9.950877929973998,-1.7142864934242086
156,9.43151152130618,-5.270433903543988
157,7.967655550742186,-6.305033829552354
158,8.342451121605402,-5.315213951767789
159,9.21684953751775,-3.6475613876810997
160,9.155602425800828,-2.9849727728785544
161,8.729539975063135,-2.781505501667936
162,7.6845550010694375,-2.2087214197904
163,4.789907045571319,-0.13721736807634127
164,3.0298567253853768,1.7561093627247657
165,2.682594522263628,2.369688502978348
166,2.1885663789540617,2.361911185370717
167,2.7615575535719272,2.4136373235517485
168,3.4538461053634415,2.434240889686481
169,2.6244027450960874,2.292321019979656
170,0.8561756436795097,3.260282899665244
171,0.7506142684908942,3.6753503822893885
172,-0.5152485946495277,3.705775541094815
173,-0.7998662806952931,3.5358335802582292
174,-0.9126681811028935,3.5378585093011616
175,-0.6840765678510682,3.8555852517212053
176,-1.8585203902899372,4.4181545128639685
177,-1.4440677033178533,4.1827507349902335
178,-2.4379408826443,4.276120883136617
179,-2.7494914432051534,4.4877075642326005
180,-2.572750220505465,4.401083960713721
181,-2.5336027246116917,4.14694450313353
182,-2.387348531340948,4.2727609981660315
183,-2.370701802486496,4.168432420136866
184,-2.3439024859015043,4.272113784408842
185,-2.178810315150185,4.336693456965222
186,-0.268574693234254,3.6339046271294455
187,0.2372875122761541,3.3501048521000287
188,0.18676919498309363,3.231746375489992
189,1.6911143644138094,3.074241027530117
190,3.173067369660884,2.632176684848798
191,2.176882648784719,2.6022712199594844
192,2.089972007328608,1.5799199953671896
193,1.3005840767929324,-3.162032531746357
194,1.3945169003768358,-2.9046135593824576
195,1.7360159889157343,-2.1923993734474307
196,1.0567241508566856,-2.9864992531710004
197,3.2919521383165495,-0.558078252973337
198,3.8050819982747948,0.04433704711177319
199,4.58174601776119,1.418932687003981
